timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692338932316,565,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,536,619,30,30,null,0,0,0
1692338933793,529,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,536,619,30,30,null,0,0,0
1692338933847,528,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,536,619,30,30,null,0,0,0
1692338934119,502,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,536,619,30,30,null,0,0,0
1692338934158,492,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,536,619,30,30,null,0,0,0
1692338934792,499,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,536,619,30,30,null,0,0,0
1692338934836,490,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,536,619,30,30,null,0,0,0
1692338935148,399,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,536,619,30,30,null,0,0,0
1692338938366,433,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-31,text,true,,536,619,35,35,null,0,0,0
1692338938378,455,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-35,text,true,,536,619,35,35,null,0,0,0
1692338938365,898,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-33,text,true,,536,619,35,35,null,0,0,0
1692338938367,909,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-32,text,true,,536,619,35,35,null,0,0,0
1692338938372,974,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-34,text,true,,536,619,35,35,null,0,0,0
1692338940202,542,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-29,text,true,,536,619,35,35,null,0,0,0
1692338940160,584,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-26,text,true,,536,619,35,35,null,0,0,0
1692338940327,547,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-28,text,true,,536,619,35,35,null,0,0,0
1692338940528,503,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-27,text,true,,536,619,35,35,null,0,0,0
1692338940499,548,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-30,text,true,,536,619,35,35,null,0,0,0
1692338941489,708,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,536,619,35,35,null,0,0,0
1692338941409,857,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,536,619,35,35,null,0,0,0
1692338941900,521,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-25,text,true,,536,619,35,35,null,0,0,0
1692338942195,387,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,true,,536,619,35,35,null,0,0,0
1692338942608,540,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-23,text,true,,536,619,35,35,null,0,0,0
1692338942621,587,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,536,619,35,35,null,0,0,0
1692338942867,520,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,536,619,35,35,null,0,0,0
1692338942886,583,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,536,619,35,35,null,0,0,0
1692338944327,436,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,536,619,35,35,null,0,0,0
1692338944386,412,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,536,619,35,35,null,0,0,0
1692338944627,481,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,536,619,35,35,null,0,0,0
1692338944655,511,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,536,619,35,35,null,0,0,0
1692338945297,417,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,536,619,35,35,null,0,0,0
